,d,k,r
107,1100000,27000000,23.545454545454547
108,1100000,28000000,24.454545454545453
109,1100000,29000000,25.363636363636363
110,1100000,30000000,26.272727272727273
111,1100000,31000000,27.181818181818183
112,1100000,32000000,28.09090909090909
113,1100000,33000000,29.0
114,1100000,34000000,29.90909090909091
115,1100000,35000000,30.818181818181817
116,1100000,36000000,31.727272727272727
117,1100000,37000000,32.63636363636363
118,1100000,38000000,33.54545454545455
119,1100000,39000000,34.45454545454545
120,1100000,40000000,35.36363636363637
121,1100000,41000000,36.27272727272727
122,1100000,42000000,37.18181818181818
123,1100000,43000000,38.09090909090909
124,1100000,44000000,39.0
125,1100000,45000000,39.90909090909091
126,1100000,46000000,40.81818181818182
127,1100000,47000000,41.72727272727273
128,1100000,48000000,42.63636363636363
129,1100000,49000000,43.54545454545455
130,1100000,50000000,44.45454545454545
131,1100000,51000000,45.36363636363637
132,1100000,52000000,46.27272727272727
133,1100000,53000000,47.18181818181818
134,1100000,54000000,48.09090909090909
135,1100000,55000000,49.0
136,1100000,56000000,49.90909090909091
137,1100000,57000000,50.81818181818182
138,1100000,58000000,51.72727272727273
139,1100000,59000000,52.63636363636363
140,1100000,60000000,53.54545454545455
141,1100000,61000000,54.45454545454545
142,1100000,62000000,55.36363636363637
143,1100000,63000000,56.27272727272727
144,1100000,64000000,57.18181818181818
145,1100000,65000000,58.09090909090909
146,1100000,66000000,59.0
147,1100000,67000000,59.90909090909091
148,1100000,68000000,60.81818181818182
149,1100000,69000000,61.72727272727273
150,1100000,70000000,62.63636363636363
151,1100000,71000000,63.54545454545455
152,1100000,72000000,64.45454545454545
153,1100000,73000000,65.36363636363636
154,1100000,74000000,66.27272727272727
155,1100000,75000000,67.18181818181819
156,1100000,76000000,68.0909090909091
157,1100000,77000000,69.0
158,1100000,78000000,69.9090909090909
159,1100000,79000000,70.81818181818181
160,1100000,80000000,71.72727272727273
161,1100000,81000000,72.63636363636364
162,1100000,82000000,73.54545454545455
163,1100000,83000000,74.45454545454545
164,1100000,84000000,75.36363636363636
165,1100000,85000000,76.27272727272727
166,1100000,86000000,77.18181818181819
167,1100000,87000000,78.0909090909091
168,1100000,88000000,79.0
169,1100000,89000000,79.9090909090909
170,1100000,90000000,80.81818181818181
171,1100000,91000000,81.72727272727273
172,1100000,92000000,82.63636363636364
173,1100000,93000000,83.54545454545455
174,1100000,94000000,84.45454545454545
175,1100000,95000000,85.36363636363636
176,1100000,96000000,86.27272727272727
177,1100000,97000000,87.18181818181819
178,1100000,98000000,88.0909090909091
179,1100000,99000000,89.0
180,1200000,10000000,7.333333333333333
181,1200000,11000000,8.166666666666666
182,1200000,12000000,9.0
183,1200000,13000000,9.833333333333334
184,1200000,14000000,10.666666666666666
185,1200000,15000000,11.5
186,1200000,16000000,12.333333333333334
187,1200000,17000000,13.166666666666666
188,1200000,18000000,14.0
189,1200000,19000000,14.833333333333334
190,1200000,20000000,15.666666666666666
191,1200000,21000000,16.5
192,1200000,22000000,17.333333333333332
193,1200000,23000000,18.166666666666668
194,1200000,24000000,19.0
195,1200000,25000000,19.833333333333332
196,1200000,26000000,20.666666666666668
197,1200000,27000000,21.5
198,1200000,28000000,22.333333333333332
199,1200000,29000000,23.166666666666668
200,1200000,30000000,24.0
201,1200000,31000000,24.833333333333332
202,1200000,32000000,25.666666666666668
203,1200000,33000000,26.5
204,1200000,34000000,27.333333333333332
205,1200000,35000000,28.166666666666668
206,1200000,36000000,29.0
207,1200000,37000000,29.833333333333332
208,1200000,38000000,30.666666666666668
209,1200000,39000000,31.5
210,1200000,40000000,32.333333333333336
211,1200000,41000000,33.166666666666664
212,1200000,42000000,34.0
213,1200000,43000000,34.833333333333336
214,1200000,44000000,35.666666666666664
215,1200000,45000000,36.5
216,1200000,46000000,37.333333333333336
217,1200000,47000000,38.166666666666664
218,1200000,48000000,39.0
219,1200000,49000000,39.833333333333336
220,1200000,50000000,40.666666666666664
221,1200000,51000000,41.5
222,1200000,52000000,42.333333333333336
223,1200000,53000000,43.166666666666664
224,1200000,54000000,44.0
225,1200000,55000000,44.833333333333336
226,1200000,56000000,45.666666666666664
227,1200000,57000000,46.5
228,1200000,58000000,47.333333333333336
229,1200000,59000000,48.166666666666664
230,1200000,60000000,49.0
231,1200000,61000000,49.833333333333336
232,1200000,62000000,50.666666666666664
233,1200000,63000000,51.5
234,1200000,64000000,52.333333333333336
235,1200000,65000000,53.166666666666664
236,1200000,66000000,54.0
237,1200000,67000000,54.833333333333336
238,1200000,68000000,55.666666666666664
239,1200000,69000000,56.5
240,1200000,70000000,57.333333333333336
241,1200000,71000000,58.166666666666664
242,1200000,72000000,59.0
243,1200000,73000000,59.833333333333336
244,1200000,74000000,60.666666666666664
245,1200000,75000000,61.5
246,1200000,76000000,62.333333333333336
247,1200000,77000000,63.166666666666664
248,1200000,78000000,64.0
249,1200000,79000000,64.83333333333333
250,1200000,80000000,65.66666666666667
251,1200000,81000000,66.5
252,1200000,82000000,67.33333333333333
253,1200000,83000000,68.16666666666667
254,1200000,84000000,69.0
255,1200000,85000000,69.83333333333333
256,1200000,86000000,70.66666666666667
257,1200000,87000000,71.5
258,1200000,88000000,72.33333333333333
259,1200000,89000000,73.16666666666667
260,1200000,90000000,74.0
261,1200000,91000000,74.83333333333333
262,1200000,92000000,75.66666666666667
263,1200000,93000000,76.5
264,1200000,94000000,77.33333333333333
265,1200000,95000000,78.16666666666667
266,1200000,96000000,79.0
267,1200000,97000000,79.83333333333333
268,1200000,98000000,80.66666666666667
269,1200000,99000000,81.5
270,1300000,10000000,6.6923076923076925
271,1300000,11000000,7.461538461538462
272,1300000,12000000,8.23076923076923
273,1300000,13000000,9.0
274,1300000,14000000,9.76923076923077
275,1300000,15000000,10.538461538461538
276,1300000,16000000,11.307692307692308
277,1300000,17000000,12.076923076923077
278,1300000,18000000,12.846153846153847
279,1300000,19000000,13.615384615384615
280,1300000,20000000,14.384615384615385
281,1300000,21000000,15.153846153846153
282,1300000,22000000,15.923076923076923
283,1300000,23000000,16.692307692307693
284,1300000,24000000,17.46153846153846
285,1300000,25000000,18.23076923076923
286,1300000,26000000,19.0
287,1300000,27000000,19.76923076923077
288,1300000,28000000,20.53846153846154
289,1300000,29000000,21.307692307692307
290,1300000,30000000,22.076923076923077
291,1300000,31000000,22.846153846153847
292,1300000,32000000,23.615384615384617
293,1300000,33000000,24.384615384615383
294,1300000,34000000,25.153846153846153
295,1300000,35000000,25.923076923076923
296,1300000,36000000,26.692307692307693
297,1300000,37000000,27.46153846153846
298,1300000,38000000,28.23076923076923
299,1300000,39000000,29.0
300,1300000,40000000,29.76923076923077
301,1300000,41000000,30.53846153846154
302,1300000,42000000,31.307692307692307
303,1300000,43000000,32.07692307692308
304,1300000,44000000,32.84615384615385
305,1300000,45000000,33.61538461538461
306,1300000,46000000,34.38461538461539
307,1300000,47000000,35.15384615384615
308,1300000,48000000,35.92307692307692
309,1300000,49000000,36.69230769230769
310,1300000,50000000,37.46153846153846
311,1300000,51000000,38.23076923076923
312,1300000,52000000,39.0
313,1300000,53000000,39.76923076923077
314,1300000,54000000,40.53846153846154
315,1300000,55000000,41.30769230769231
316,1300000,56000000,42.07692307692308
317,1300000,57000000,42.84615384615385
318,1300000,58000000,43.61538461538461
319,1300000,59000000,44.38461538461539
320,1300000,60000000,45.15384615384615
321,1300000,61000000,45.92307692307692
322,1300000,62000000,46.69230769230769
323,1300000,63000000,47.46153846153846
324,1300000,64000000,48.23076923076923
325,1300000,65000000,49.0
326,1300000,66000000,49.76923076923077
327,1300000,67000000,50.53846153846154
328,1300000,68000000,51.30769230769231
329,1300000,69000000,52.07692307692308
330,1300000,70000000,52.84615384615385
331,1300000,71000000,53.61538461538461
332,1300000,72000000,54.38461538461539
333,1300000,73000000,55.15384615384615
334,1300000,74000000,55.92307692307692
335,1300000,75000000,56.69230769230769
336,1300000,76000000,57.46153846153846
337,1300000,77000000,58.23076923076923
338,1300000,78000000,59.0
339,1300000,79000000,59.76923076923077
340,1300000,80000000,60.53846153846154
341,1300000,81000000,61.30769230769231
342,1300000,82000000,62.07692307692308
343,1300000,83000000,62.84615384615385
344,1300000,84000000,63.61538461538461
345,1300000,85000000,64.38461538461539
346,1300000,86000000,65.15384615384616
347,1300000,87000000,65.92307692307692
348,1300000,88000000,66.6923076923077
349,1300000,89000000,67.46153846153847
350,1300000,90000000,68.23076923076923
351,1300000,91000000,69.0
352,1300000,92000000,69.76923076923077
353,1300000,93000000,70.53846153846153
354,1300000,94000000,71.3076923076923
355,1300000,95000000,72.07692307692308
356,1300000,96000000,72.84615384615384
357,1300000,97000000,73.61538461538461
358,1300000,98000000,74.38461538461539
359,1300000,99000000,75.15384615384616
360,1400000,10000000,6.142857142857143
361,1400000,11000000,6.857142857142857
362,1400000,12000000,7.571428571428571
363,1400000,13000000,8.285714285714286
364,1400000,14000000,9.0
365,1400000,15000000,9.714285714285714
366,1400000,16000000,10.428571428571429
367,1400000,17000000,11.142857142857142
368,1400000,18000000,11.857142857142858
369,1400000,19000000,12.571428571428571
370,1400000,20000000,13.285714285714286
371,1400000,21000000,14.0
372,1400000,22000000,14.714285714285714
373,1400000,23000000,15.428571428571429
374,1400000,24000000,16.142857142857142
375,1400000,25000000,16.857142857142858
376,1400000,26000000,17.571428571428573
377,1400000,27000000,18.285714285714285
378,1400000,28000000,19.0
379,1400000,29000000,19.714285714285715
380,1400000,30000000,20.428571428571427
381,1400000,31000000,21.142857142857142
382,1400000,32000000,21.857142857142858
383,1400000,33000000,22.571428571428573
384,1400000,34000000,23.285714285714285
385,1400000,35000000,24.0
386,1400000,36000000,24.714285714285715
387,1400000,37000000,25.428571428571427
388,1400000,38000000,26.142857142857142
389,1400000,39000000,26.857142857142858
390,1400000,40000000,27.571428571428573
391,1400000,41000000,28.285714285714285
392,1400000,42000000,29.0
393,1400000,43000000,29.714285714285715
394,1400000,44000000,30.428571428571427
395,1400000,45000000,31.142857142857142
396,1400000,46000000,31.857142857142858
397,1400000,47000000,32.57142857142857
398,1400000,48000000,33.285714285714285
399,1400000,49000000,34.0
400,1400000,50000000,34.714285714285715
401,1400000,51000000,35.42857142857143
402,1400000,52000000,36.142857142857146
403,1400000,53000000,36.857142857142854
404,1400000,54000000,37.57142857142857
405,1400000,55000000,38.285714285714285
406,1400000,56000000,39.0
407,1400000,57000000,39.714285714285715
408,1400000,58000000,40.42857142857143
409,1400000,59000000,41.142857142857146
410,1400000,60000000,41.857142857142854
411,1400000,61000000,42.57142857142857
412,1400000,62000000,43.285714285714285
413,1400000,63000000,44.0
414,1400000,64000000,44.714285714285715
415,1400000,65000000,45.42857142857143
416,1400000,66000000,46.142857142857146
417,1400000,67000000,46.857142857142854
418,1400000,68000000,47.57142857142857
419,1400000,69000000,48.285714285714285
420,1400000,70000000,49.0
421,1400000,71000000,49.714285714285715
422,1400000,72000000,50.42857142857143
423,1400000,73000000,51.142857142857146
424,1400000,74000000,51.857142857142854
425,1400000,75000000,52.57142857142857
426,1400000,76000000,53.285714285714285
427,1400000,77000000,54.0
428,1400000,78000000,54.714285714285715
429,1400000,79000000,55.42857142857143
430,1400000,80000000,56.142857142857146
431,1400000,81000000,56.857142857142854
432,1400000,82000000,57.57142857142857
433,1400000,83000000,58.285714285714285
434,1400000,84000000,59.0
435,1400000,85000000,59.714285714285715
436,1400000,86000000,60.42857142857143
437,1400000,87000000,61.142857142857146
438,1400000,88000000,61.857142857142854
439,1400000,89000000,62.57142857142857
440,1400000,90000000,63.285714285714285
441,1400000,91000000,64.0
442,1400000,92000000,64.71428571428571
443,1400000,93000000,65.42857142857143
444,1400000,94000000,66.14285714285714
445,1400000,95000000,66.85714285714286
446,1400000,96000000,67.57142857142857
447,1400000,97000000,68.28571428571429
448,1400000,98000000,69.0
449,1400000,99000000,69.71428571428571
450,1500000,10000000,5.666666666666667
451,1500000,11000000,6.333333333333333
452,1500000,12000000,7.0
453,1500000,13000000,7.666666666666667
454,1500000,14000000,8.333333333333334
455,1500000,15000000,9.0
456,1500000,16000000,9.666666666666666
457,1500000,17000000,10.333333333333334
458,1500000,18000000,11.0
459,1500000,19000000,11.666666666666666
460,1500000,20000000,12.333333333333334
461,1500000,21000000,13.0
462,1500000,22000000,13.666666666666666
463,1500000,23000000,14.333333333333334
464,1500000,24000000,15.0
465,1500000,25000000,15.666666666666666
466,1500000,26000000,16.333333333333332
467,1500000,27000000,17.0
468,1500000,28000000,17.666666666666668
469,1500000,29000000,18.333333333333332
470,1500000,30000000,19.0
471,1500000,31000000,19.666666666666668
472,1500000,32000000,20.333333333333332
473,1500000,33000000,21.0
474,1500000,34000000,21.666666666666668
475,1500000,35000000,22.333333333333332
476,1500000,36000000,23.0
477,1500000,37000000,23.666666666666668
478,1500000,38000000,24.333333333333332
479,1500000,39000000,25.0
480,1500000,40000000,25.666666666666668
481,1500000,41000000,26.333333333333332
482,1500000,42000000,27.0
483,1500000,43000000,27.666666666666668
484,1500000,44000000,28.333333333333332
485,1500000,45000000,29.0
486,1500000,46000000,29.666666666666668
487,1500000,47000000,30.333333333333332
488,1500000,48000000,31.0
489,1500000,49000000,31.666666666666668
490,1500000,50000000,32.333333333333336
491,1500000,51000000,33.0
492,1500000,52000000,33.666666666666664
493,1500000,53000000,34.333333333333336
494,1500000,54000000,35.0
495,1500000,55000000,35.666666666666664
496,1500000,56000000,36.333333333333336
497,1500000,57000000,37.0
498,1500000,58000000,37.666666666666664
499,1500000,59000000,38.333333333333336
500,1500000,60000000,39.0
501,1500000,61000000,39.666666666666664
502,1500000,62000000,40.333333333333336
503,1500000,63000000,41.0
504,1500000,64000000,41.666666666666664
505,1500000,65000000,42.333333333333336
506,1500000,66000000,43.0
507,1500000,67000000,43.666666666666664
508,1500000,68000000,44.333333333333336
509,1500000,69000000,45.0
510,1500000,70000000,45.666666666666664
511,1500000,71000000,46.333333333333336
512,1500000,72000000,47.0
513,1500000,73000000,47.666666666666664
514,1500000,74000000,48.333333333333336
515,1500000,75000000,49.0
516,1500000,76000000,49.666666666666664
517,1500000,77000000,50.333333333333336
518,1500000,78000000,51.0
519,1500000,79000000,51.666666666666664
520,1500000,80000000,52.333333333333336
521,1500000,81000000,53.0
522,1500000,82000000,53.666666666666664
523,1500000,83000000,54.333333333333336
524,1500000,84000000,55.0
525,1500000,85000000,55.666666666666664
526,1500000,86000000,56.333333333333336
527,1500000,87000000,57.0
528,1500000,88000000,57.666666666666664
529,1500000,89000000,58.333333333333336
530,1500000,90000000,59.0
531,1500000,91000000,59.666666666666664
532,1500000,92000000,60.333333333333336
533,1500000,93000000,61.0
534,1500000,94000000,61.666666666666664
535,1500000,95000000,62.333333333333336
536,1500000,96000000,63.0
537,1500000,97000000,63.666666666666664
538,1500000,98000000,64.33333333333333
539,1500000,99000000,65.0
540,1600000,10000000,5.25
541,1600000,11000000,5.875
542,1600000,12000000,6.5
543,1600000,13000000,7.125
544,1600000,14000000,7.75
545,1600000,15000000,8.375
546,1600000,16000000,9.0
547,1600000,17000000,9.625
548,1600000,18000000,10.25
549,1600000,19000000,10.875
550,1600000,20000000,11.5
551,1600000,21000000,12.125
552,1600000,22000000,12.75
553,1600000,23000000,13.375
554,1600000,24000000,14.0
555,1600000,25000000,14.625
556,1600000,26000000,15.25
557,1600000,27000000,15.875
558,1600000,28000000,16.5
559,1600000,29000000,17.125
560,1600000,30000000,17.75
561,1600000,31000000,18.375
562,1600000,32000000,19.0
563,1600000,33000000,19.625
564,1600000,34000000,20.25
565,1600000,35000000,20.875
566,1600000,36000000,21.5
567,1600000,37000000,22.125
568,1600000,38000000,22.75
569,1600000,39000000,23.375
570,1600000,40000000,24.0
571,1600000,41000000,24.625
572,1600000,42000000,25.25
573,1600000,43000000,25.875
574,1600000,44000000,26.5
575,1600000,45000000,27.125
576,1600000,46000000,27.75
577,1600000,47000000,28.375
578,1600000,48000000,29.0
579,1600000,49000000,29.625
580,1600000,50000000,30.25
581,1600000,51000000,30.875
582,1600000,52000000,31.5
583,1600000,53000000,32.125
584,1600000,54000000,32.75
585,1600000,55000000,33.375
586,1600000,56000000,34.0
587,1600000,57000000,34.625
588,1600000,58000000,35.25
589,1600000,59000000,35.875
590,1600000,60000000,36.5
591,1600000,61000000,37.125
592,1600000,62000000,37.75
593,1600000,63000000,38.375
594,1600000,64000000,39.0
595,1600000,65000000,39.625
596,1600000,66000000,40.25
597,1600000,67000000,40.875
598,1600000,68000000,41.5
599,1600000,69000000,42.125
600,1600000,70000000,42.75
601,1600000,71000000,43.375
602,1600000,72000000,44.0
603,1600000,73000000,44.625
604,1600000,74000000,45.25
605,1600000,75000000,45.875
606,1600000,76000000,46.5
607,1600000,77000000,47.125
608,1600000,78000000,47.75
609,1600000,79000000,48.375
610,1600000,80000000,49.0
611,1600000,81000000,49.625
612,1600000,82000000,50.25
613,1600000,83000000,50.875
614,1600000,84000000,51.5
615,1600000,85000000,52.125
616,1600000,86000000,52.75
617,1600000,87000000,53.375
618,1600000,88000000,54.0
619,1600000,89000000,54.625
620,1600000,90000000,55.25
621,1600000,91000000,55.875
622,1600000,92000000,56.5
623,1600000,93000000,57.125
624,1600000,94000000,57.75
625,1600000,95000000,58.375
626,1600000,96000000,59.0
627,1600000,97000000,59.625
628,1600000,98000000,60.25
629,1600000,99000000,60.875
630,1700000,10000000,4.882352941176471
631,1700000,11000000,5.470588235294118
632,1700000,12000000,6.0588235294117645
633,1700000,13000000,6.647058823529412
634,1700000,14000000,7.235294117647059
635,1700000,15000000,7.823529411764706
636,1700000,16000000,8.411764705882353
637,1700000,17000000,9.0
638,1700000,18000000,9.588235294117647
639,1700000,19000000,10.176470588235293
640,1700000,20000000,10.764705882352942
641,1700000,21000000,11.352941176470589
642,1700000,22000000,11.941176470588236
643,1700000,23000000,12.529411764705882
644,1700000,24000000,13.117647058823529
645,1700000,25000000,13.705882352941176
646,1700000,26000000,14.294117647058824
647,1700000,27000000,14.882352941176471
648,1700000,28000000,15.470588235294118
649,1700000,29000000,16.058823529411764
650,1700000,30000000,16.647058823529413
651,1700000,31000000,17.235294117647058
652,1700000,32000000,17.823529411764707
653,1700000,33000000,18.41176470588235
654,1700000,34000000,19.0
655,1700000,35000000,19.58823529411765
656,1700000,36000000,20.176470588235293
657,1700000,37000000,20.764705882352942
658,1700000,38000000,21.352941176470587
659,1700000,39000000,21.941176470588236
660,1700000,40000000,22.529411764705884
661,1700000,41000000,23.11764705882353
662,1700000,42000000,23.705882352941178
663,1700000,43000000,24.294117647058822
664,1700000,44000000,24.88235294117647
665,1700000,45000000,25.470588235294116
666,1700000,46000000,26.058823529411764
667,1700000,47000000,26.647058823529413
668,1700000,48000000,27.235294117647058
669,1700000,49000000,27.823529411764707
670,1700000,50000000,28.41176470588235
671,1700000,51000000,29.0
672,1700000,52000000,29.58823529411765
673,1700000,53000000,30.176470588235293
674,1700000,54000000,30.764705882352942
675,1700000,55000000,31.352941176470587
676,1700000,56000000,31.941176470588236
677,1700000,57000000,32.529411764705884
678,1700000,58000000,33.11764705882353
679,1700000,59000000,33.705882352941174
680,1700000,60000000,34.294117647058826
681,1700000,61000000,34.88235294117647
682,1700000,62000000,35.470588235294116
683,1700000,63000000,36.05882352941177
684,1700000,64000000,36.64705882352941
685,1700000,65000000,37.23529411764706
686,1700000,66000000,37.8235294117647
687,1700000,67000000,38.411764705882355
688,1700000,68000000,39.0
689,1700000,69000000,39.588235294117645
690,1700000,70000000,40.1764705882353
691,1700000,71000000,40.76470588235294
692,1700000,72000000,41.35294117647059
693,1700000,73000000,41.94117647058823
694,1700000,74000000,42.529411764705884
695,1700000,75000000,43.11764705882353
696,1700000,76000000,43.705882352941174
697,1700000,77000000,44.294117647058826
698,1700000,78000000,44.88235294117647
699,1700000,79000000,45.470588235294116
700,1700000,80000000,46.05882352941177
701,1700000,81000000,46.64705882352941
702,1700000,82000000,47.23529411764706
703,1700000,83000000,47.8235294117647
704,1700000,84000000,48.411764705882355
705,1700000,85000000,49.0
706,1700000,86000000,49.588235294117645
707,1700000,87000000,50.1764705882353
708,1700000,88000000,50.76470588235294
709,1700000,89000000,51.35294117647059
710,1700000,90000000,51.94117647058823
711,1700000,91000000,52.529411764705884
712,1700000,92000000,53.11764705882353
713,1700000,93000000,53.705882352941174
714,1700000,94000000,54.294117647058826
715,1700000,95000000,54.88235294117647
716,1700000,96000000,55.470588235294116
717,1700000,97000000,56.05882352941177
718,1700000,98000000,56.64705882352941
719,1700000,99000000,57.23529411764706
720,1800000,10000000,4.555555555555555
721,1800000,11000000,5.111111111111111
722,1800000,12000000,5.666666666666667
723,1800000,13000000,6.222222222222222
724,1800000,14000000,6.777777777777778
725,1800000,15000000,7.333333333333333
726,1800000,16000000,7.888888888888889
727,1800000,17000000,8.444444444444445
728,1800000,18000000,9.0
729,1800000,19000000,9.555555555555555
730,1800000,20000000,10.11111111111111
731,1800000,21000000,10.666666666666666
732,1800000,22000000,11.222222222222221
733,1800000,23000000,11.777777777777779
734,1800000,24000000,12.333333333333334
735,1800000,25000000,12.88888888888889
736,1800000,26000000,13.444444444444445
737,1800000,27000000,14.0
738,1800000,28000000,14.555555555555555
739,1800000,29000000,15.11111111111111
740,1800000,30000000,15.666666666666666
741,1800000,31000000,16.22222222222222
742,1800000,32000000,16.77777777777778
743,1800000,33000000,17.333333333333332
744,1800000,34000000,17.88888888888889
745,1800000,35000000,18.444444444444443
746,1800000,36000000,19.0
747,1800000,37000000,19.555555555555557
748,1800000,38000000,20.11111111111111
749,1800000,39000000,20.666666666666668
750,1800000,40000000,21.22222222222222
751,1800000,41000000,21.77777777777778
752,1800000,42000000,22.333333333333332
753,1800000,43000000,22.88888888888889
754,1800000,44000000,23.444444444444443
755,1800000,45000000,24.0
756,1800000,46000000,24.555555555555557
757,1800000,47000000,25.11111111111111
758,1800000,48000000,25.666666666666668
759,1800000,49000000,26.22222222222222
760,1800000,50000000,26.77777777777778
761,1800000,51000000,27.333333333333332
762,1800000,52000000,27.88888888888889
763,1800000,53000000,28.444444444444443
764,1800000,54000000,29.0
765,1800000,55000000,29.555555555555557
766,1800000,56000000,30.11111111111111
767,1800000,57000000,30.666666666666668
768,1800000,58000000,31.22222222222222
769,1800000,59000000,31.77777777777778
770,1800000,60000000,32.333333333333336
771,1800000,61000000,32.888888888888886
772,1800000,62000000,33.44444444444444
773,1800000,63000000,34.0
774,1800000,64000000,34.55555555555556
775,1800000,65000000,35.111111111111114
776,1800000,66000000,35.666666666666664
777,1800000,67000000,36.22222222222222
778,1800000,68000000,36.77777777777778
779,1800000,69000000,37.333333333333336
780,1800000,70000000,37.888888888888886
781,1800000,71000000,38.44444444444444
782,1800000,72000000,39.0
783,1800000,73000000,39.55555555555556
784,1800000,74000000,40.111111111111114
785,1800000,75000000,40.666666666666664
786,1800000,76000000,41.22222222222222
787,1800000,77000000,41.77777777777778
788,1800000,78000000,42.333333333333336
789,1800000,79000000,42.888888888888886
790,1800000,80000000,43.44444444444444
791,1800000,81000000,44.0
792,1800000,82000000,44.55555555555556
793,1800000,83000000,45.111111111111114
794,1800000,84000000,45.666666666666664
795,1800000,85000000,46.22222222222222
796,1800000,86000000,46.77777777777778
797,1800000,87000000,47.333333333333336
798,1800000,88000000,47.888888888888886
799,1800000,89000000,48.44444444444444
800,1800000,90000000,49.0
801,1800000,91000000,49.55555555555556
802,1800000,92000000,50.111111111111114
803,1800000,93000000,50.666666666666664
804,1800000,94000000,51.22222222222222
805,1800000,95000000,51.77777777777778
806,1800000,96000000,52.333333333333336
807,1800000,97000000,52.888888888888886
808,1800000,98000000,53.44444444444444
809,1800000,99000000,54.0
810,1900000,10000000,4.2631578947368425
811,1900000,11000000,4.7894736842105265
812,1900000,12000000,5.315789473684211
813,1900000,13000000,5.842105263157895
814,1900000,14000000,6.368421052631579
815,1900000,15000000,6.894736842105263
816,1900000,16000000,7.421052631578948
817,1900000,17000000,7.947368421052632
818,1900000,18000000,8.473684210526315
819,1900000,19000000,9.0
820,1900000,20000000,9.526315789473685
821,1900000,21000000,10.052631578947368
822,1900000,22000000,10.578947368421053
823,1900000,23000000,11.105263157894736
824,1900000,24000000,11.631578947368421
825,1900000,25000000,12.157894736842104
826,1900000,26000000,12.68421052631579
827,1900000,27000000,13.210526315789474
828,1900000,28000000,13.736842105263158
829,1900000,29000000,14.263157894736842
830,1900000,30000000,14.789473684210526
831,1900000,31000000,15.31578947368421
832,1900000,32000000,15.842105263157896
833,1900000,33000000,16.36842105263158
834,1900000,34000000,16.894736842105264
835,1900000,35000000,17.42105263157895
836,1900000,36000000,17.94736842105263
837,1900000,37000000,18.473684210526315
838,1900000,38000000,19.0
839,1900000,39000000,19.526315789473685
