,name,rate,depth,volume,comment,percentage,time,id
35,SEI,21.053427,1201029.66738,26486819.870649,@!#[.]?|=._,322768.0,2024-03-04 23:48:35,10060
36,SOL,16.301083,8757578.1923,151515589.55616,@!#[.]?|=._,305233.0,2024-03-04 23:48:35,10061
37,QTUM,13.011172,1166772.8403,16347855.16272,@!#[.]?|=._,582770.0,2024-03-04 23:48:35,10062
38,RUNE,12.307867,1002059.5659,13335275.72757,@!#[.]?|=._,419772.0,2024-03-04 23:48:35,10063
39,LEVER,11.828392,1577052.40049,20231046.4477,@!#[.]?|=._,629723.0,2024-03-04 23:48:35,10064
40,JTO,11.800142,1450970.28785,18572625.710226,@!#[.]?|=._,548126.0,2024-03-04 23:48:35,10065
41,CRV,9.827216,1087218.24352,11771547.265428,!~:[.]^|~!^,422935.0,2024-03-04 23:48:35,10066
42,MATIC,8.084648,4345346.02866,39475938.970452,~_~^[.]^|!~,522244.0,2024-03-04 23:48:35,10067
43,DOT,8.079706,3355875.6336,30470363.486319,~_~^[.]^|!~,474644.0,2024-03-04 23:48:35,10068
44,UNI,7.271635,1565546.6802,12949630.094958,''~[.]^|!~^,542368.0,2024-03-04 23:48:35,10069
45,RNDR,7.004973,1641450.50293,13139766.808839,''~[.]^|!~^,332743.0,2024-03-04 23:48:35,10070
46,LTC,6.75995,2354385.77486,18269916.79815,!*!*[.]-|:~,386420.0,2024-03-04 23:48:35,10071
47,BNB,6.395592,9164800.170652,67779119.07813,!*!*[.]-|:~,389934.0,2024-03-04 23:48:35,10072
48,XLM,5.741324,2057481.329962,13870148.61465,~*![.]?|--*,463675.0,2024-03-04 23:48:35,10073
49,NEO,5.651698,1641509.2769,10918823.35233,~*![.]?|--*,453300.0,2024-03-04 23:48:35,10074
50,GALA,5.476711,2076648.36714,13449851.67522,~*![.]?|--*,469328.0,2024-03-04 23:48:35,10075
51,DYDX,4.640469,2099092.37724,11839865.244036,-:-:[.]^|[],351520.0,2024-03-04 23:48:35,10076
52,OP,4.30383,2602360.25609,13802476.550184,-:-:[.]^|[],313680.0,2024-03-04 23:48:35,10077
53,FDUSD,4.232897,89935012.3124,470620645.56357,-:-:[.]^|[],905105.0,2024-03-04 23:48:35,10078
54,NEAR,3.719547,3737881.6036,17641109.50497,:*:*[.]-|~:,480796.0,2024-03-04 23:48:35,10079
55,AVAX,2.955665,7621142.3627,30146684.37801,~::[.]-|=@#,501785.0,2024-03-04 23:48:35,10080
56,STRK,0.48314,8136626.90832,12067757.260581,__@[.]-|=.~,442513.0,2024-03-04 23:48:35,10081
57,BCH,0.31513,19519236.9594,25670330.62374,__@[.]-|=.~,833142.0,2024-03-04 23:48:35,10082
58,DOGE,61.813586,2437427.15856,153103539.597273,@!#[.]?|=._,403507.0,2024-03-05 00:19:17,10083
59,MEME,33.476178,1194989.173133,41198659.339054,@!#[.]?|=._,586719.0,2024-03-05 00:19:17,10084
60,SHIB,28.140055,8176758.861889,238271201.477059,@!#[.]?|=._,438621.0,2024-03-05 00:19:17,10085
61,FLOKI,21.774303,2122427.343774,48336804.219768,@!#[.]?|=._,643577.0,2024-03-05 00:19:17,10086
62,MATIC,17.048064,2499163.88199,45105070.40643,@!#[.]?|=._,343147.0,2024-03-05 00:19:17,10087
63,JTO,15.728958,1005409.32066,16819449.872931,@!#[.]?|=._,409825.0,2024-03-05 00:19:17,10088
64,SOL,15.2216,8819456.6061,143065695.93345,@!#[.]?|=._,305137.0,2024-03-05 00:19:17,10089
65,LEVER,11.293999,1627962.532915,20014169.81355,@!#[.]?|=._,660155.0,2024-03-05 00:19:17,10090
66,FDUSD,10.03397,42931628.6294,473706305.76342,@!#[.]?|=._,730472.0,2024-03-05 00:19:17,10091
67,EUR,9.835481,1252148.307866,13567629.055659,!~:[.]^|~!^,419924.0,2024-03-05 00:19:17,10092
68,ACE,8.3921,1073541.45538,10082808.358749,~_~^[.]^|!~,349063.0,2024-03-05 00:19:17,10093
69,RNDR,7.780095,1531041.71772,13442691.066963,''~[.]^|!~^,308670.0,2024-03-05 00:19:17,10094
70,UNI,7.385808,1495013.66604,12536898.023112,''~[.]^|!~^,510034.0,2024-03-05 00:19:17,10095
71,DOT,7.239295,3422795.93713,28201425.142068,''~[.]^|!~^,478740.0,2024-03-05 00:19:17,10096
72,BNB,6.86189,8389915.043552,65960587.16847,!*!*[.]-|:~,363632.0,2024-03-05 00:19:17,10097
73,DYDX,5.582404,1806805.74982,11893125.565815,~*![.]?|--*,311674.0,2024-03-05 00:19:17,10098
74,LTC,5.497243,2636978.04049,17133087.419316,~*![.]?|--*,409648.0,2024-03-05 00:19:17,10099
75,GALA,5.206935,2059649.71393,12784111.868334,~*![.]?|--*,467090.0,2024-03-05 00:19:17,10100
76,XLM,5.146024,2147015.582362,13195608.68829,~*![.]?|--*,473861.0,2024-03-05 00:19:17,10101
77,NEAR,3.109316,4084400.6286,16784090.86428,:*:*[.]-|~:,509038.0,2024-03-05 00:19:17,10102
78,AVAX,2.696119,7609585.7868,28125932.45349,~::[.]-|=@#,502670.0,2024-03-05 00:19:17,10103
79,STRK,0.467956,7787832.0334,11432196.406269,__@[.]-|=.~,437540.0,2024-03-05 00:19:17,10104
80,BCH,0.237906,19742914.5612,24439867.84224,__@[.]-|=.~,838666.0,2024-03-05 00:19:17,10105
81,BTC,359.102755,1983588.696201,714295754.757856,@!#[.]?|=._,301179.0,2024-03-05 10:18:58,10106
82,ETH,77.596179,3822416.103558,300427299.328772,@!#[.]?|=._,413399.0,2024-03-05 10:18:58,10107
83,SHIB,44.52594,12818885.758529,583591825.610416,@!#[.]?|=._,576835.0,2024-03-05 10:18:58,10108
84,XEC,42.776514,1124804.717992,49240029.573055,@!#[.]?|=._,529085.0,2024-03-05 10:18:58,10109
85,1000SATS,34.717622,1321742.636155,47209503.426834,@!#[.]?|=._,322321.0,2024-03-05 10:18:58,10110
86,ORDI,30.430578,2601916.30092,81779734.348899,@!#[.]?|=._,494933.0,2024-03-05 10:18:58,10111
87,BONK,23.321277,3707076.867788,90160841.90717,@!#[.]?|=._,445814.0,2024-03-05 10:18:58,10112
88,LUNC,10.572064,1065494.292263,12329968.674314,@!#[.]?|=._,545366.0,2024-03-05 10:18:58,10113
89,SOL,9.989644,12122073.7046,133217271.49563,!~:[.]^|~!^,397112.0,2024-03-05 10:18:58,10114
90,FDUSD,7.507312,59918406.0731,509744557.60722,''~[.]^|!~^,889247.0,2024-03-05 10:18:58,10115
91,PEOPLE,7.451744,2424377.733561,20490219.686674,''~[.]^|!~^,565209.0,2024-03-05 10:18:58,10116
92,RUNE,7.318837,1248840.2195,10388898.67509,''~[.]^|!~^,471646.0,2024-03-05 10:18:58,10117
93,THETA,6.433767,1664545.7812,12373844.68242,!*!*[.]-|:~,435945.0,2024-03-05 10:18:58,10118
94,BCH,5.063683,3597913.4305,21816608.26134,~*![.]?|--*,460899.0,2024-03-05 10:18:58,10119
95,DOT,5.055635,3308405.43881,20034495.323151,~*![.]?|--*,490750.0,2024-03-05 10:18:58,10120
96,HBAR,4.589535,2060660.191892,11518131.9495,-:-:[.]^|[],362143.0,2024-03-05 10:18:58,10121
97,BNB,4.473787,10992633.509552,60171335.8698,-:-:[.]^|[],456020.0,2024-03-05 10:18:58,10122
98,NEAR,2.58726,3403943.5576,12210830.98278,~::[.]-|=@#,423412.0,2024-03-05 10:18:58,10123
99,AVAX,2.195388,7327977.9493,23415735.63297,~::[.]-|=@#,504573.0,2024-03-05 10:18:58,10124
100,LTC,1.888075,6263560.57026,18089633.355777,__~[.]_|*~:,628424.0,2024-03-05 10:18:58,10125
101,SHIB,46.809714,13118305.042424,627182408.436671,@!#[.]?|=._,533914.0,2024-03-05 10:49:42,10126
102,ORDI,37.230572,2236034.52416,85484879.395416,@!#[.]?|=._,457671.0,2024-03-05 10:49:42,10127
103,XEC,30.184292,1568353.179726,48907983.4981,@!#[.]?|=._,670918.0,2024-03-05 10:49:42,10128
104,1000SATS,20.817896,2325793.320281,50743916.310044,@!#[.]?|=._,465208.0,2024-03-05 10:49:42,10129
105,BONK,19.904333,3974440.675095,83083033.317968,@!#[.]?|=._,457401.0,2024-03-05 10:49:42,10130
106,LUNC,17.036202,1096994.455123,19785613.934858,@!#[.]?|=._,570140.0,2024-03-05 10:49:42,10131
107,QTUM,10.899208,1052439.0024,12523190.37057,@!#[.]?|=._,551037.0,2024-03-05 10:49:42,10132
108,LTC,10.698726,1986854.81921,23243669.678049,@!#[.]?|=._,302566.0,2024-03-05 10:49:42,10133
109,RUNE,9.550679,1043325.4365,11007791.88666,!~:[.]^|~!^,423954.0,2024-03-05 10:49:42,10134
110,FDUSD,7.920711,58941496.5824,525800027.86467,''~[.]^|!~^,896882.0,2024-03-05 10:49:42,10135
111,GALA,7.781308,1208507.11475,10612273.534842,''~[.]^|!~^,316963.0,2024-03-05 10:49:42,10136
112,THETA,6.901395,1665856.573,13162590.19155,!*!*[.]-|:~,432449.0,2024-03-05 10:49:42,10137
113,DOT,6.426641,2675618.82121,19870860.29583,!*!*[.]-|:~,419460.0,2024-03-05 10:49:42,10138
114,PEOPLE,6.107389,2894701.029275,20573765.625858,!*!*[.]-|:~,619144.0,2024-03-05 10:49:42,10139
115,BCH,5.679302,3398118.8361,22697061.57354,~*![.]?|--*,447058.0,2024-03-05 10:49:42,10140
116,BNB,4.685772,11757631.922652,66851213.48463,-:-:[.]^|[],481268.0,2024-03-05 10:49:42,10141
117,HBAR,4.163819,2268526.673892,11714261.3106,-:-:[.]^|[],391059.0,2024-03-05 10:49:42,10142
118,WIN,3.623494,2242055.573333,10366129.647461,:*:*[.]-|~:,710071.0,2024-03-05 10:49:42,10143
119,NEAR,2.795891,3296282.6543,12512331.25938,~::[.]-|=@#,413611.0,2024-03-05 10:49:42,10144
120,AVAX,2.708197,6892284.6804,25557947.06628,~::[.]-|=@#,487586.0,2024-03-05 10:49:42,10145
121,SHIB,41.695208,14176175.80916,605254771.389437,@!#[.]?|=._,568700.0,2024-03-05 11:20:29,10146
122,ORDI,32.846423,2511403.01673,85002007.847481,@!#[.]?|=._,488142.0,2024-03-05 11:20:29,10147
123,XEC,29.129304,1558705.825885,46962722.05325,@!#[.]?|=._,664518.0,2024-03-05 11:20:29,10148
124,CKB,16.510802,1108309.001817,19407379.19693,@!#[.]?|=._,547783.0,2024-03-05 11:20:29,10149
125,BONK,15.106783,4798206.820737,77283676.787269,@!#[.]?|=._,492558.0,2024-03-05 11:20:29,10150
126,1000SATS,14.235388,3409994.909199,51952596.245003,@!#[.]?|=._,562012.0,2024-03-05 11:20:29,10151
127,THETA,10.674884,1186656.5526,13854078.15282,@!#[.]?|=._,341410.0,2024-03-05 11:20:29,10152
128,RUNE,7.994941,1165346.7823,10482225.87567,''~[.]^|!~^,460204.0,2024-03-05 11:20:29,10153
129,BNB,7.83341,7689925.718752,67928266.11975,''~[.]^|!~^,314298.0,2024-03-05 11:20:29,10154
130,FDUSD,7.089199,62260129.9246,503634595.4196,''~[.]^|!~^,901395.0,2024-03-05 11:20:29,10155
131,GALA,7.0041,1309004.00734,10477399.608252,''~[.]^|!~^,336081.0,2024-03-05 11:20:29,10156
132,NEO,6.166808,1473595.8568,10560978.42009,!*!*[.]-|:~,426818.0,2024-03-05 11:20:29,10157
133,LTC,6.151181,3398291.25217,24301796.884194,!*!*[.]-|:~,419496.0,2024-03-05 11:20:29,10158
134,PEOPLE,5.883028,2960408.797001,20376576.519178,~*![.]?|--*,645185.0,2024-03-05 11:20:29,10159
135,DOT,5.328143,2993156.27525,18941122.41873,~*![.]?|--*,444668.0,2024-03-05 11:20:29,10160
136,BCH,5.270037,3332048.3486,20892067.73142,~*![.]?|--*,445510.0,2024-03-05 11:20:29,10161
137,HBAR,3.678464,2255348.334792,10551566.2023,:*:*[.]-|~:,389305.0,2024-03-05 11:20:29,10162
138,NEAR,2.727662,3247214.8835,12104517.96882,~::[.]-|=@#,409251.0,2024-03-05 11:20:29,10163
139,AVAX,2.533357,6808372.1321,24056409.58395,~::[.]-|=@#,482169.0,2024-03-05 11:20:29,10164
140,DOGE,138.633712,1952491.02372,272633569.779258,@!#[.]?|=._,335024.0,2024-03-05 11:51:12,10165
141,ORDI,51.447608,1571366.6605,82414422.852246,@!#[.]?|=._,360363.0,2024-03-05 11:51:12,10166
142,SHIB,35.32809,15687546.59872,569898603.492753,@!#[.]?|=._,602822.0,2024-03-05 11:51:12,10167
143,XEC,23.531816,1549159.667877,38003699.264425,@!#[.]?|=._,682607.0,2024-03-05 11:51:12,10168
144,CKB,15.328218,1084527.815982,17708406.883762,@!#[.]?|=._,541636.0,2024-03-05 11:51:12,10169
145,BONK,13.167989,5113321.822981,72445484.819687,@!#[.]?|=._,508057.0,2024-03-05 11:51:12,10170
146,QTUM,12.86457,1026928.4136,14237920.52382,@!#[.]?|=._,563407.0,2024-03-05 11:51:12,10171
147,THETA,11.748622,1192469.2089,15202339.64229,@!#[.]?|=._,334285.0,2024-03-05 11:51:12,10172
148,FDUSD,7.503613,56478262.5595,480269315.53773,''~[.]^|!~^,843826.0,2024-03-05 11:51:12,10173
149,PEOPLE,6.399487,3570306.852174,26418438.855516,!*!*[.]-|:~,698807.0,2024-03-05 11:51:12,10174
150,DOT,6.018457,2502909.29017,17566561.66911,!*!*[.]-|:~,394433.0,2024-03-05 11:51:12,10175
151,BNB,4.540477,11835404.391752,65573786.54193,-:-:[.]^|[],482382.0,2024-03-05 11:51:12,10176
152,BCH,4.161041,3531904.6303,18228305.10927,-:-:[.]^|[],459051.0,2024-03-05 11:51:12,10177
153,LTC,3.646346,4885263.23701,22698623.922801,:*:*[.]-|~:,510618.0,2024-03-05 11:51:12,10178
154,NEAR,2.655137,3129722.3328,11439565.03998,~::[.]-|=@#,390666.0,2024-03-05 11:51:12,10179
155,AVAX,1.827898,7391629.6933,20902775.38077,__~[.]_|*~:,508309.0,2024-03-05 11:51:12,10180
156,BTC,120.808574,5211289.861204,634779785.838865,@!#[.]?|=._,601069.0,2024-03-05 12:21:57,10181
157,SHIB,45.563295,12111309.217908,563942469.042758,@!#[.]?|=._,502878.0,2024-03-05 12:21:57,10182
158,BONK,33.099641,2036145.225003,69431820.190411,@!#[.]?|=._,301410.0,2024-03-05 12:21:57,10183
159,XEC,31.215103,1082997.006738,34888860.569291,@!#[.]?|=._,611182.0,2024-03-05 12:21:57,10184
160,ARB,29.558682,1584326.80446,48414938.773809,@!#[.]?|=._,499862.0,2024-03-05 12:21:57,10185
161,ETC,16.424899,2120893.8277,36956360.97162,@!#[.]?|=._,333218.0,2024-03-05 12:21:57,10186
162,PEOPLE,14.482612,2120363.434437,32828764.124833,@!#[.]?|=._,552422.0,2024-03-05 12:21:57,10187
163,FIL,14.216516,2208019.09256,33598356.897657,@!#[.]?|=._,323840.0,2024-03-05 12:21:57,10188
164,LINK,12.609216,1258861.18882,17132114.029773,@!#[.]?|=._,356750.0,2024-03-05 12:21:57,10189
165,QTUM,11.308329,1021058.1515,12567520.09944,@!#[.]?|=._,564232.0,2024-03-05 12:21:57,10190
166,UNI,10.604835,1031245.99792,11967439.578579,@!#[.]?|=._,343269.0,2024-03-05 12:21:57,10191
167,OP,10.394474,2264497.34473,25802756.121066,@!#[.]?|=._,318085.0,2024-03-05 12:21:57,10192
168,ICP,8.687758,1208529.97163,11707945.377897,~_~^[.]^|!~,551998.0,2024-03-05 12:21:57,10193
169,MATIC,7.794663,3590992.4128,31581568.704795,''~[.]^|!~^,545586.0,2024-03-05 12:21:57,10194
170,RUNE,7.431477,1255202.8636,10583213.50575,''~[.]^|!~^,473660.0,2024-03-05 12:21:57,10195
171,FDUSD,6.784651,62711573.3377,488187742.92762,!*!*[.]-|:~,896135.0,2024-03-05 12:21:57,10196
172,SOL,6.570357,18400319.7596,139296983.23863,!*!*[.]-|:~,537003.0,2024-03-05 12:21:57,10197
173,GALA,6.163047,1418037.01717,10157466.19164,!*!*[.]-|:~,359611.0,2024-03-05 12:21:57,10198
174,BCH,6.024577,2882203.7024,20246262.93717,!*!*[.]-|:~,401499.0,2024-03-05 12:21:57,10199
175,LTC,4.825849,4607001.97438,26839699.535847,-:-:[.]^|[],495654.0,2024-03-05 12:21:57,10200
176,BNB,4.758235,11807630.624552,67991108.31429,-:-:[.]^|[],484709.0,2024-03-05 12:21:57,10201
177,DOT,4.297455,3397356.76807,17997343.634217,-:-:[.]^|[],491121.0,2024-03-05 12:21:57,10202
178,NEAR,2.754682,2994177.3201,11242184.97639,~::[.]-|=@#,385283.0,2024-03-05 12:21:57,10203
179,ENS,1.842138,4225540.9555,12009571.9563,__~[.]_|*~:,644143.0,2024-03-05 12:21:57,10204
180,AVAX,1.742011,7674770.0105,21044304.6702,__~[.]_|*~:,533695.0,2024-03-05 12:21:57,10205
181,LDO,1.245832,5080497.06935,11409942.668547,__~[.]_|*~:,753885.0,2024-03-05 12:21:57,10206
182,STRK,0.6953,10457157.08782,17728013.865981,__@[.]-|=.~,532743.0,2024-03-05 12:21:57,10207
183,LINK,19.29198,1067379.58503,21659245.507188,@!#[.]?|=._,338329.0,2024-03-05 12:52:48,10208
184,FIL,18.642706,2419957.77512,47534519.082444,@!#[.]?|=._,366767.0,2024-03-05 12:52:48,10209
185,ICP,17.263561,1694960.39675,30956012.893368,@!#[.]?|=._,606739.0,2024-03-05 12:52:48,10210
186,THETA,16.820962,1851396.045,32993659.40403,@!#[.]?|=._,522820.0,2024-03-05 12:52:48,10211
187,SOL,14.355735,10316488.8133,158417263.5999,@!#[.]?|=._,361194.0,2024-03-05 12:52:48,10212
188,MATIC,12.191203,2822344.8185,37230122.474208,@!#[.]?|=._,466648.0,2024-03-05 12:52:48,10213
189,UNI,10.975651,1373677.41173,16450681.635951,@!#[.]?|=._,461379.0,2024-03-05 12:52:48,10214
190,ENS,10.11763,3341268.1223,37146983.69322,@!#[.]?|=._,570838.0,2024-03-05 12:52:48,10215
191,BNB,9.09764,8297645.084252,83786628.80811,!~:[.]^|~!^,392219.0,2024-03-05 12:52:48,10216
192,RUNE,8.154231,1284445.2391,11758107.87873,~_~^[.]^|!~,491230.0,2024-03-05 12:52:48,10217
193,FDUSD,7.191984,64397016.0152,527539352.89665,''~[.]^|!~^,915493.0,2024-03-05 12:52:48,10218
194,GALA,6.948546,1465239.29057,11646522.138294,!*!*[.]-|:~,369181.0,2024-03-05 12:52:48,10219
195,BCH,6.258987,2971701.213,21571541.7582,!*!*[.]-|:~,426049.0,2024-03-05 12:52:48,10220
196,LTC,6.063821,4396192.97941,31053918.682917,!*!*[.]-|:~,482650.0,2024-03-05 12:52:48,10221
197,DOT,4.661502,3551416.18039,20106350.645505,-:-:[.]^|[],530332.0,2024-03-05 12:52:48,10222
198,STRK,4.227004,9005939.18523,47074080.386436,-:-:[.]^|[],497777.0,2024-03-05 12:52:48,10223
199,NEAR,3.301466,3107215.1508,13365580.79547,:*:*[.]-|~:,396896.0,2024-03-05 12:52:48,10224
200,LDO,1.90807,5343089.66232,15538081.38507,__~[.]_|*~:,754253.0,2024-03-05 12:52:48,10225
201,AVAX,1.548602,9472151.6988,24140749.33962,__~[.]_|*~:,596458.0,2024-03-05 12:52:48,10226
202,ETH,224.873838,2232024.326786,504155900.103363,@!#[.]?|=._,315094.0,2024-03-05 13:24:13,10227
203,XEC,35.168347,1018890.621486,36851589.222101,@!#[.]?|=._,588837.0,2024-03-05 13:24:13,10228
204,PEOPLE,33.476761,1147461.16466,39560743.904642,@!#[.]?|=._,353637.0,2024-03-05 13:24:13,10229
205,ICP,32.520255,1281423.18569,42953631.934941,@!#[.]?|=._,549529.0,2024-03-05 13:24:13,10230
206,MATIC,21.196976,1934255.0728,42934613.788356,@!#[.]?|=._,339519.0,2024-03-05 13:24:13,10231
207,LINK,20.380138,1228790.45351,26271709.309287,@!#[.]?|=._,379811.0,2024-03-05 13:24:13,10232
208,THETA,19.875515,1992704.9095,41598741.75162,@!#[.]?|=._,511537.0,2024-03-05 13:24:13,10233
209,UNI,17.002142,1290324.23987,23228599.573755,@!#[.]?|=._,524006.0,2024-03-05 13:24:13,10234
210,ARB,15.024509,5580583.2308,89426106.104391,@!#[.]?|=._,734438.0,2024-03-05 13:24:13,10235
211,LTC,14.362554,2517037.81654,38668128.737481,@!#[.]?|=._,381805.0,2024-03-05 13:24:13,10236
212,ENS,14.329996,3691032.1737,56583506.71536,@!#[.]?|=._,597650.0,2024-03-05 13:24:13,10237
213,SEI,12.954266,1227410.10292,17127607.534173,@!#[.]?|=._,340444.0,2024-03-05 13:24:13,10238
214,WLD,11.985948,2525295.2549,32793353.21364,@!#[.]?|=._,363457.0,2024-03-05 13:24:13,10239
215,RUNE,11.930991,1230708.7632,15914283.73758,@!#[.]?|=._,471610.0,2024-03-05 13:24:13,10240
216,SOL,11.766529,14221191.0868,181555242.89595,@!#[.]?|=._,469041.0,2024-03-05 13:24:13,10241
217,QTUM,10.52524,1209474.8955,13939488.4266,@!#[.]?|=._,606881.0,2024-03-05 13:24:13,10242
218,FDUSD,9.093049,61483888.2118,620559880.64187,!~:[.]^|~!^,901637.0,2024-03-05 13:24:13,10243
219,STRK,7.791223,9562525.69757,84066293.138832,''~[.]^|!~^,466856.0,2024-03-05 13:24:13,10244
220,BNB,7.272346,13181976.868452,109045874.6778,''~[.]^|!~^,531242.0,2024-03-05 13:24:13,10245
221,DOT,7.141919,3052172.88036,24850543.247961,''~[.]^|!~^,487786.0,2024-03-05 13:24:13,10246
222,NEO,6.769176,1525925.0252,11855180.83191,!*!*[.]-|:~,445605.0,2024-03-05 13:24:13,10247
223,TRX,6.712992,1414953.642993,10913525.542683,!*!*[.]-|:~,640983.0,2024-03-05 13:24:13,10248
224,GALA,5.496688,2156502.55313,14010124.017021,~*![.]?|--*,515797.0,2024-03-05 13:24:13,10249
225,BCH,5.415674,3824415.4672,24536201.62122,~*![.]?|--*,510272.0,2024-03-05 13:24:13,10250
226,NEAR,4.540418,3272965.6445,18133598.24049,-:-:[.]^|[],427033.0,2024-03-05 13:24:13,10251
227,XLM,3.969131,2380811.160962,11830563.24264,:*:*[.]-|~:,526682.0,2024-03-05 13:24:13,10252
228,LSK,3.89074,2052046.812287,10036026.77082,:*:*[.]-|~:,760880.0,2024-03-05 13:24:13,10253
229,HBAR,3.882461,2362761.060492,11536088.41971,:*:*[.]-|~:,415731.0,2024-03-05 13:24:13,10254
230,DYDX,3.682956,2656655.12913,12440999.46987,:*:*[.]-|~:,435211.0,2024-03-05 13:24:13,10255
231,INJ,3.616103,3467192.684412,16004918.133,:*:*[.]-|~:,383137.0,2024-03-05 13:24:13,10256
232,PIXEL,2.483149,3519219.64218,12257967.426342,~::[.]-|=@#,485128.0,2024-03-05 13:24:13,10257
233,AVAX,2.179523,9487553.8174,30165896.35875,~::[.]-|=@#,601433.0,2024-03-05 13:24:13,10258
234,LDO,1.958646,5240986.92446,15506223.856614,__~[.]_|*~:,740720.0,2024-03-05 13:24:13,10259
235,SHIB,80.651033,8428935.040562,688231251.503441,@!#[.]?|=._,406849.0,2024-03-05 13:55:34,10260
236,ICP,29.69356,1422015.2766,43646710.896252,@!#[.]?|=._,516391.0,2024-03-05 13:55:34,10261
237,ADA,24.404644,1991389.09366,50590530.554217,@!#[.]?|=._,304330.0,2024-03-05 13:55:34,10262
238,UNI,22.726874,1058797.40355,25121952.169554,@!#[.]?|=._,454254.0,2024-03-05 13:55:34,10263
239,THETA,20.087007,1853912.2275,39093459.38262,@!#[.]?|=._,484340.0,2024-03-05 13:55:34,10264
240,MATIC,17.925859,2404992.37592,45516545.557941,@!#[.]?|=._,401346.0,2024-03-05 13:55:34,10265
241,ARB,14.620809,6451776.98595,100781977.21092,@!#[.]?|=._,745983.0,2024-03-05 13:55:34,10266
